Permit #,Workclass,Issue Date,Address,Description,Contractor
TC-RES-0224-00785,Solar,03/12/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 10 kW AC SYSTEM SIZE (kW): 7.25 kW W/ Main service upgrade,Alexandra Rutledge
TC-RES-0224-00786,Solar,03/12/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 4.4 kW AC SYSTEM SIZE (kW): 3.19 kW,Alexandra Rutledge
TC-RES-0224-00788,Solar,03/12/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0224-00826,Solar,03/12/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 7.2 kW AC SYSTEM SIZE (kW): 5.22 kW,Alexandra Rutledge
TC-RES-0224-00827,Solar,03/12/2024,,Roof Mounted PV System DC SYSTEM SIZE (kW): 4 kW AC SYSTEM SIZE (kW): 2.9 kW,Alexandra Rutledge
TC-RES-0224-00828,Solar,03/12/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 5.6 kW AC SYSTEM SIZE (kW): 4.06 kW,Alexandra Rutledge
TC-RES-0224-00839,Solar,03/12/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 5.6 kW AC SYSTEM SIZE (kW): 4.06 kW,Alexandra Rutledge
TC-RES-0224-00843,Solar,03/12/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0224-00875,Solar,03/12/2024,,Roof Mounted PV System DC SYSTEM SIZE (kW): 10.8 kW AC SYSTEM SIZE (kW): 7.83 kW W/ SERVICE COLLAR,Alexandra Rutledge
TC-RES-0224-00895,Solar,03/14/2024,,Installation of 4.51 kwDC roof mounted photovoltaic system,Titan Solar Power Inc
TC-RES-0224-00911,Solar,03/14/2024,,Lot 2 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00917,Solar,03/14/2024,,Lot 6 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00919,Solar,03/14/2024,,Lot 7 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00920,Solar,03/14/2024,,Lot 8 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00922,Solar,03/14/2024,,Lot - 14 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00923,Solar,03/14/2024,,Lot - 15 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00924,Solar,03/14/2024,,Lot 16 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00925,Solar,03/14/2024,,Lot 17 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00926,Solar,03/14/2024,,Lot 18 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00927,Solar,03/14/2024,,Lot 19 - Install a 4.05kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00930,Solar,03/14/2024,,Roof Mounted PV System DC SYSTEM SIZE (kW): 4 kW AC SYSTEM SIZE (kW): 2.9 kW,Alexandra Rutledge
TC-RES-0224-00938,Solar,03/14/2024,,Roof Mounted PV System DC SYSTEM SIZE (kW): 5.6 kW AC SYSTEM SIZE (kW): 4.06 kW,Alexandra Rutledge
TC-RES-0224-00965,Solar,03/14/2024,,Lot 28 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00968,Solar,03/14/2024,,Lot 30 - Install a 4.05 kW DC rooftop solar electric system.,Net Zero Solar
TC-RES-0224-00969,Solar,03/14/2024,,Lot 31 - Install a 4.05 kW DC rooftop solar electric system,Net Zero Solar
