Permit #,Workclass,Issue Date,Address,Description,Contractor
TC-COM-0124-00175,Solar,02/28/2024,"3727 N 1ST AV, TUCSON, AZ 
85719",SATORI SCHOOL PV SYSTEM WILL CONSIST OF 60 SILFAB 500W MODULES.  A GRID-TIED INVERTER WILL,Technicians for Sustainability
TC-COM-0523-01252,Solar,02/26/2024,"3071 N SWAN RD, TUCSON, AZ 
85712",The Camp Lowell Offices is a 15.0 kW DC grid tied PV system - 30 Silfab 500W modules w/ 1 grid-tied inverter,Technicians for Sustainability
TC-COM-0623-01422,Solar,02/29/2024,,relocation of existing solar canopy system 210.6 DC KW,
T22CM07217,Solar,03/01/2023,,Install Solar Panels On Roof,Construction With Quality
TC-COM-1123-02744,Solar,03/05/2024,"423 S OLSEN AV, TUCSON, AZ 
85719","27.54 kw pv system enphase technologies,",solar solution az
T22CM05890,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05891,Solar,03/06/2023,"5761 S PARK AV BLDG 1 UNIT 
1102, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM05892,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05893,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05894,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05895,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05896,Solar,03/06/2023,"5761 S PARK AV BLDG 1 UNIT 
1107, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM05897,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05898,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05899,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05900,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05901,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05902,Solar,03/06/2023,"5761 S PARK AV BLDG 1 UNIT 
1114, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM05904,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM05906,Solar,03/08/2023,,Solar PV Panels,Contractco Inc
T22CM05907,Solar,03/06/2023,"5761 S PARK AV BLDG 1 UNIT 
1119, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM05908,Solar,03/08/2023,"5761 S PARK AV BLDG 1 UNIT 
1108, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM06144,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM06194,Solar,03/06/2023,"5761 S PARK AV BLDG 3 UNIT 
3105, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM06210,Solar,03/06/2023,"5761 S PARK AV BLDG 3 UNIT 
3106, TUCSON, AZ 85706",Solar PV Panels,Contractco Inc
T22CM06213,Solar,03/06/2023,,Solar PV Panels,Contractco Inc
T22CM06214,Solar,03/06/2023,"5761 S PARK AV BLDG 2 UNIT 
2111, TUCSON, AZ 85706",Solar PV  Panels,Contractco Inc
T22CM07733,Solar,03/06/2023,"5761 S PARK AV BLDG 6 UNIT 
6113, TUCSON, AZ 85706",Solar Panels,Contractco Inc
T22CM07734,Solar,03/06/2023,"5761 S PARK AV BLDG 6 UNIT 
6112, TUCSON, AZ 85706",Solar Panels,Contractco Inc
T22CM07735,Solar,03/06/2023,,Solar Panels,Contractco Inc
T22CM07736,Solar,03/06/2023,"5761 S PARK AV BLDG 6 UNIT 
6110, TUCSON, AZ 85706",Solar Panels,Contractco Inc
T22CM07737,Solar,03/06/2023,"5761 S PARK AV BLDG 6 UNIT 
6109, TUCSON, AZ 85706",Solar Panels,Contractco Inc
T22CM07738,Solar,03/06/2023,"5761 S PARK AV BLDG 6 UNIT 
6108, TUCSON, AZ 85706",Solar Panels,Contractco Inc
