,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description,Year
24754,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:13:35Z,2023-04-17 18:45:11.037000+00:00,2023-11-20T17:19:43Z,2023-05-25T04:00:00Z,511,Hiscock,,48103,4.94 kW Roof Mounted 13 Panel Solar Array with Storage,2023.0
24765,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2023-05-03T21:55:23Z,2023-04-18 20:37:26.130000+00:00,2023-11-27T15:55:21Z,2023-05-31T04:00:00Z,311,Montgomery,,48103,Roof mount solar array,2023.0
25066,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2023-04-23 17:50:51.383000+00:00,,,2073,Garden,,48103,Install 13 Solar Panels,2023.0
25177,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:33Z,2023-04-24 13:21:13.297000+00:00,2024-01-08T14:59:43Z,2023-07-14T04:00:00Z,1210,Edgewood,,48103,Installing roof mounted solar panels.,2023.0
25210,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:43Z,2023-04-26 17:39:52.557000+00:00,2023-12-05T02:00:18Z,2023-06-08T04:00:00Z,1138,Martin,,48104,6.08 kW Roof Mounted Solar Array with 16 Panels,2023.0
25217,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:53Z,2023-04-26 19:08:36.217000+00:00,2024-01-16T16:29:03Z,2023-07-21T04:00:00Z,1200,Naples,,48103,3.8 kW Roof Mounted 10 Panel Solar Array,2023.0
25542,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:43Z,2023-04-26 17:39:52.557000+00:00,2023-12-05T02:00:18Z,2023-06-08T04:00:00Z,1138,Martin,,48104,6.08 kW Roof Mounted Solar Array with 16 Panels,2023.0
25549,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:53Z,2023-04-26 19:08:36.217000+00:00,2024-01-16T16:29:03Z,2023-07-21T04:00:00Z,1200,Naples,,48103,3.8 kW Roof Mounted 10 Panel Solar Array,2023.0
25553,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:05:40Z,2023-04-27 15:28:22.137000+00:00,2024-01-29T16:00:04Z,2023-08-01T04:00:00Z,1129,Gott,,48103,9.12 kW Roof Mounted 24 Panel Solar Array with Battery Backup,2023.0
25573,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:56:03Z,2023-04-28 16:43:52.463000+00:00,2024-01-29T15:38:24Z,2023-08-02T04:00:00Z,1109,Pomona,,48103,"Installing 37 roof mounted solar panels,",2023.0
25598,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:07:04Z,2023-05-01 17:38:43.160000+00:00,2023-12-11T15:50:22Z,2023-06-15T04:00:00Z,1139,Wendy,,48103,5.74 kW roof mount solar with 16 kWh battery,2023.0
25601,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:08:41Z,2023-05-01 19:25:39.800000+00:00,2023-11-20T16:04:55Z,2023-05-25T04:00:00Z,1765,Franklin,,48103,16 kWh battery,2023.0
25602,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:09:48Z,2023-05-01 20:58:50.053000+00:00,2023-12-18T15:09:43Z,2023-06-21T04:00:00Z,3455,Vintage Valley,,48105,"8.2 kW roof mount array
200A service panel upgrade",2023.0
25620,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:08:27Z,2023-05-02 17:32:24.250000+00:00,2023-12-11T15:32:44Z,2023-06-15T04:00:00Z,2871,Page,,48104,"10.66 kW roof mount array
16kWh battery",2023.0
25985,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:08:16Z,2023-05-04 12:32:22.183000+00:00,2024-02-19T21:57:34Z,2023-08-24T04:00:00Z,1102,Olivia,,48104,6.46 kW Roof Mounted Solar Array with 16 Panels and Battery Storage,2023.0
26011,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:08:05Z,2023-05-08 18:57:12.687000+00:00,2023-12-11T16:14:15Z,2023-06-15T04:00:00Z,2564,Hawthorn,,48104,12.3 kW Roof Mount Array,2023.0
26012,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:07:54Z,2023-05-08 20:12:28.173000+00:00,2023-12-19T16:12:22Z,2023-06-23T04:00:00Z,3648,Wellington Cross,,48105,8.61 kW Roof mount system,2023.0
26021,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Withdrawn,,2023-05-09 16:54:15.570000+00:00,,,1120,Pauline,,48103,"*WITHDRAWN BY APPLICANT, SEE EMAIL* Installation of (1) SOL-ARK 15K Inverter & 28.8 KWH HomeGrid Battery onto the existing solar system. (Original Valuation = $0)",2023.0
26470,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-18T21:18:59Z,2023-05-17 16:29:53.430000+00:00,2023-11-28T16:44:21Z,2023-06-02T04:00:00Z,2233,Medford,,48104,3.2 kW PV Solar Panel Installation on Roof,2023.0
26812,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void - Wrong Workclass,,2023-05-22 19:36:30.027000+00:00,,,1731,Sanford,,48103,8.2kW Solar panel installation with 6.8kW Inverter and DC battery backup,2023.0
26889,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-18T21:18:59Z,2023-05-17 16:29:53.430000+00:00,2023-11-28T16:44:21Z,2023-06-02T04:00:00Z,2233,Medford,,48104,3.2 kW PV Solar Panel Installation on Roof,2023.0
26907,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-01T21:20:26Z,2023-05-18 13:14:09.417000+00:00,2024-01-22T14:59:08Z,2023-07-26T04:00:00Z,1512,Riverwood,,48103,Installing 18 roof mounted solar panels.,2023.0
26909,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-01T21:20:32Z,2023-05-18 13:30:38.480000+00:00,2024-01-16T15:56:13Z,2023-07-20T04:00:00Z,2032,Suffolk,,48103,Installing 19 roof mounted solar panels.,2023.0
26916,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:42:46Z,2023-05-18 15:43:00.513000+00:00,2023-12-27T16:15:18Z,2023-06-28T04:00:00Z,2424,Shannondale,,48104,**SEE ELECR23-1468 FOR FEES**  BATTERY INSTALLATION ONLY.   Installation of (2) Tesla Powerwall batteries to be integrated with the existing solar array on site and a surge arrester.,2023.0
26934,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:49:50Z,2023-05-19 14:35:37.403000+00:00,2024-01-09T20:54:57Z,2023-07-19T04:00:00Z,2869,Sorrento,,48104,Installing 28 roof mounted solar panels.,2023.0
26978,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:45:48Z,2023-05-23 15:31:53.003000+00:00,2024-01-09T18:11:54Z,2023-07-14T04:00:00Z,125,Fairview,,48103,Installing 7 roof mounted solar panels.,2023.0
27309,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-05-26T20:06:14Z,2023-05-26 18:43:39.813000+00:00,2023-12-27T15:15:21Z,2023-06-30T04:00:00Z,2200,Downup,,48103,8.4 kW Roof Mount Array,2023.0
27423,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-08T13:07:30Z,2023-05-26 17:42:41.443000+00:00,2023-12-27T16:17:28Z,2023-06-29T04:00:00Z,2200,Downup,,48103,8.4 kW Roof Mount Solar Array,2023.0
27477,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:51:08Z,2023-05-25 20:22:48.493000+00:00,2023-12-27T15:21:45Z,2023-07-01T04:00:00Z,1421,Iroquois,,48104,3.28 kW Roof mount system with battery,2023.0
27479,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:46:55Z,2023-05-25 22:21:00.153000+00:00,2024-09-09T16:05:08Z,2024-03-16T04:00:00Z,1731,Sanford,,48103,**HOMEOWNER PERMIT**  8.2kW Solar panel installation with 6.8kW inverter and DC battery backup,2023.0
27482,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:54:42Z,2023-05-26 13:53:02.597000+00:00,2024-02-05T15:24:29Z,2023-08-12T04:00:00Z,2031,Fair,,48103,Installing 18 roof mounted solar panels.,2023.0
27507,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:55:56Z,2023-05-31 17:20:43.130000+00:00,2024-01-16T15:00:22Z,2023-07-18T04:00:00Z,8,Bristol,,48104,3.2 kW PV Solar Panel Installation on Roof,2023.0
27791,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Expired,2023-06-18T15:16:52Z,2023-06-05 15:03:16.083000+00:00,2023-12-15T16:11:21Z,2023-12-15T05:00:00Z,647,Barber,,48103,12 panel roof mounted solar array,2023.0
27876,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:55:56Z,2023-05-31 17:20:43.130000+00:00,2024-01-16T15:00:22Z,2023-07-18T04:00:00Z,8,Bristol,,48104,3.2 kW PV Solar Panel Installation on Roof,2023.0
27883,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:48:33Z,2023-06-01 13:25:21.270000+00:00,2024-01-16T16:38:28Z,2023-07-21T04:00:00Z,1725,Arbordale,,48103,Propose to install (11) REC 405W Solar Panels on the existing roof of the home. Installation of a 10KWH Encharge Battery.,2023.0
27884,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:47:10Z,2023-06-01 13:53:24.093000+00:00,2024-01-09T18:38:08Z,2023-07-14T04:00:00Z,2241,Delaware,,48103,Installing 9 roof mounted solar panels.,2023.0
27886,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:11:59Z,2023-06-01 14:35:27.163000+00:00,2024-02-06T15:51:27Z,2023-08-11T04:00:00Z,224,Crest,,48103,Installing 13 roof mounted solar panels.,2023.0
27893,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-08T14:57:23Z,2023-06-01 16:55:04.073000+00:00,2023-12-27T15:21:32Z,2023-07-01T04:00:00Z,2114,Ridge,,48104,5.33 kW Roof Mount Solar,2023.0
27911,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:48:07Z,2023-06-01 18:02:23.617000+00:00,2024-01-08T18:24:48Z,2023-07-15T04:00:00Z,3801,Wynnstone,,48105,13.94 kW Roof Mount Solar,2023.0
27938,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-07T18:49:05Z,2023-06-02 19:13:53.200000+00:00,2024-02-20T14:04:02Z,2023-08-25T04:00:00Z,630,Dartmoor,,48103,"13.12 kW Roof Mount Array
16kWh battery
service panel upgrade",2023.0
27943,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-06T16:04:07Z,2023-06-05 13:28:39.327000+00:00,2024-02-12T16:09:04Z,2023-09-08T04:00:00Z,2021,Suffolk,,48103,Installing 20 roof mounted solar panels.,2023.0
27946,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Expired,2023-06-18T11:57:04Z,2023-06-05 15:27:52.197000+00:00,2023-12-15T16:11:21Z,2023-12-15T05:00:00Z,647,Barber,,48103,12 panel roof mounted solar array installation,2023.0
27958,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:52:45Z,2023-06-05 23:11:07.223000+00:00,2024-01-16T14:26:26Z,2023-09-12T04:00:00Z,3225,Monument,,48108,6 kW PV Solar Panel Installation on Roof,2023.0
27973,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:52:33Z,2023-06-06 19:45:19.017000+00:00,2024-06-03T13:32:48Z,2023-12-06T05:00:00Z,1434,Woodland,,48103,5.6 kW PV Solar Panel Installation on Roof,2023.0
27977,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:51:41Z,2023-06-07 13:36:54.093000+00:00,2024-02-12T14:51:24Z,2023-09-08T04:00:00Z,1019,Lincoln,,48104,Installing 14 roof mounted solar panels.,2023.0
27984,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Issued,2023-10-14T19:40:55Z,2023-06-07 17:14:33.507000+00:00,2024-07-31T15:08:39Z,,1255,Morehead,,48103,"8 kw Roof Mounted Solar Array
20 (400) Watt Solar panels
7.6kW SolarEdge Inverter
20 DC Optimizers",2023.0
28306,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-06-21T13:57:10Z,2023-06-08 20:39:22.403000+00:00,2024-08-21T16:26:00Z,2023-12-18T05:00:00Z,3421,Platt,,48108,37.985 kW Roof Mount Solar,2023.0
28307,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-06-13T19:37:37Z,2023-06-08 21:06:15.593000+00:00,2024-08-21T16:25:48Z,2023-12-11T05:00:00Z,3423,Platt,,48108,31.565 kW Roof Mount Solar,2023.0
28308,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-09-08T17:36:02Z,2023-06-08 21:16:16.110000+00:00,2024-08-21T16:25:03Z,2024-02-24T05:00:00Z,3425,Platt,,48108,9.43 kW Roof Mount Solar,2023.0
28309,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-06-13T19:37:28Z,2023-06-08 21:23:58.343000+00:00,2024-08-21T16:23:38Z,2023-12-11T05:00:00Z,3427,Platt,,48108,38.52 kW Roof Mount Solar,2023.0
28310,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-06-15T21:36:33Z,2023-06-08 21:30:58.167000+00:00,2024-08-21T16:22:43Z,2024-02-24T05:00:00Z,3429,Platt,,48108,31.03 kW Roof Mount System,2023.0
28428,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-29T00:35:13Z,2023-06-08 20:56:27.453000+00:00,2024-08-21T16:26:00Z,2023-12-04T05:00:00Z,3421,Platt,,48108,37.985 kW Roof Mount System,2023.0
28433,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-29T00:35:18Z,2023-06-09 14:23:03.183000+00:00,2024-08-21T16:25:48Z,2023-12-22T05:00:00Z,3423,Platt,,48108,"31,565 kW Roof Mount System",2023.0
28434,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-29T00:35:23Z,2023-06-09 14:29:33.390000+00:00,2024-08-21T16:23:38Z,2024-01-30T05:00:00Z,3427,Platt,,48108,38.52 kW Roof Mount System,2023.0
28435,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-29T00:35:28Z,2023-06-09 14:36:20.663000+00:00,2024-08-21T16:22:43Z,2024-02-14T05:00:00Z,3429,Platt,,48108,31.03 kW Roof Mount System,2023.0
28464,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:51:41Z,2023-06-07 13:36:54.093000+00:00,2024-02-12T14:51:24Z,2023-09-08T04:00:00Z,1019,Lincoln,,48104,Installing 14 roof mounted solar panels.,2023.0
28471,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Issued,2023-10-14T19:40:55Z,2023-06-07 17:14:33.507000+00:00,2024-07-31T15:08:39Z,,1255,Morehead,,48103,"8 kw Roof Mounted Solar Array
20 (400) Watt Solar panels
7.6kW SolarEdge Inverter
20 DC Optimizers",2023.0
28498,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-18T11:50:36Z,2023-06-08 15:46:52.020000+00:00,2024-01-16T14:18:32Z,2023-07-20T04:00:00Z,3226,Edgewood,,48104,4.4 kW PV Solar Panel Installation on Roof,2023.0
28549,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-08-12T20:11:12Z,2023-06-12 16:32:33.120000+00:00,2024-02-26T16:28:01Z,2023-08-31T04:00:00Z,2110,Shadford,,48104,8.74 Roof Mounted Solar Array with 23 Panels and Battery Backup,2023.0
28570,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:51:04Z,2023-06-13 19:48:57.290000+00:00,2024-01-16T15:28:23Z,2023-07-18T04:00:00Z,2504,Banyan,,48103,5.6 kW PV Solar Panel Installation on Roof,2023.0
28573,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:52:08Z,2023-06-13 20:21:33.263000+00:00,2024-01-16T15:23:09Z,2023-07-27T04:00:00Z,2716,Manchester,,48104,4.92 kW Roof Mount Solar with battery,2023.0
28574,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:53:06Z,2023-06-13 20:42:38.457000+00:00,2024-01-22T13:22:12Z,2023-07-26T04:00:00Z,2003,Marra,,48103,8.61 kW Roof Mount System,2023.0
28593,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:53:56Z,2023-06-14 20:16:58.183000+00:00,2024-01-17T15:47:29Z,2023-07-27T04:00:00Z,2585,Hollywood,,48103,11.89 kW Roof Mount Array,2023.0
28976,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Withdrawn,,2023-06-21 16:21:12.127000+00:00,,,2279,Mershon,,48103,18 panel roof mounted solar array with backup battery. *CANCELED BY CONTRACTOR SEE EMAIL*,2023.0
29037,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:53:56Z,2023-06-14 20:16:58.183000+00:00,2024-01-17T15:47:29Z,2023-07-27T04:00:00Z,2585,Hollywood,,48103,11.89 kW Roof Mount Array,2023.0
29042,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2023-06-29T01:55:00Z,2023-06-15 12:41:04.230000+00:00,2024-02-19T21:57:25Z,2023-08-24T04:00:00Z,2801,Towner,,48104,"PV Roof Mount solar installation
6.21 kwdc
4.93 kwac
17 365 Watt Modules with microinverters",2023.0
29045,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:55:58Z,2023-06-15 16:00:44.173000+00:00,2024-03-19T16:19:07Z,2023-09-22T04:00:00Z,2930,Heather,,48104,Kuzava 3.6kW Solar System,2023.0
29051,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:57:00Z,2023-06-15 20:18:19.110000+00:00,2024-01-16T15:26:26Z,2023-07-27T04:00:00Z,1206,Harbrooke,,48103,3.28 kW Roof Mount Array,2023.0
29061,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:57:50Z,2023-06-16 13:37:17.360000+00:00,2024-04-03T00:18:50Z,2023-10-06T04:00:00Z,623,Turner Park,,48103,14.76 kW Roof Mount Array,2023.0
29067,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T01:59:36Z,2023-06-16 18:12:44.167000+00:00,2024-01-29T15:48:41Z,2023-08-02T04:00:00Z,1033,Spring,,48103,5.74 kW Roof Mount Array,2023.0
29107,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T02:00:41Z,2023-06-19 20:43:38.097000+00:00,2024-01-29T15:11:00Z,2023-08-01T04:00:00Z,2465,Traver,,48105,9.02 kW Roof Mount Array,2023.0
29114,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-08-12T20:12:31Z,2023-06-20 12:22:44.193000+00:00,2024-02-26T15:07:13Z,2023-08-30T04:00:00Z,1305,Miller,,48103,7.22 kW Roof Mounted 19 Panel Solar Array,2023.0
29117,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-08-28T20:02:51Z,2023-06-20 15:02:13.213000+00:00,2024-04-15T18:22:40Z,2023-10-18T04:00:00Z,1157,Wendy,,48103,6.935 kW Roof Mounted 19 Panel Solar Array,2023.0
29135,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T02:01:37Z,2023-06-21 17:44:14.337000+00:00,2024-01-29T21:09:54Z,2023-08-02T04:00:00Z,2464,Bunker Hill,,48105,3.2 kW PV Solar Panel Installation on Roof,2023.0
29137,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T02:02:32Z,2023-06-21 19:19:25.360000+00:00,2024-03-12T15:28:38Z,2023-09-15T04:00:00Z,1029,Spring,,48103,5.33 kW Roof Mount Array,2023.0
29498,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Withdrawn,,2023-06-21 16:21:12.127000+00:00,,,2279,Mershon,,48103,18 panel roof mounted solar array with backup battery. *CANCELED BY CONTRACTOR SEE EMAIL*,2023.0
29622,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T02:01:37Z,2023-06-21 17:44:14.337000+00:00,2024-01-29T21:09:54Z,2023-08-02T04:00:00Z,2464,Bunker Hill,,48105,3.2 kW PV Solar Panel Installation on Roof,2023.0
29624,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-06-29T02:02:32Z,2023-06-21 19:19:25.360000+00:00,2024-03-12T15:28:38Z,2023-09-15T04:00:00Z,1029,Spring,,48103,5.33 kW Roof Mount Array,2023.0
29703,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:12:53Z,2023-06-28 15:47:46.273000+00:00,2024-01-22T19:09:45Z,2023-07-26T04:00:00Z,2279,Mershon,,48103,5.84 kW Roof Mounted 16 Panel Solar Array with Battery Backup,2023.0
29713,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:13:46Z,2023-06-28 21:26:37.037000+00:00,2024-03-12T16:08:23Z,2023-09-15T04:00:00Z,814,Liberty,,48103,4.1 kW Roof Mount Array,2023.0
30118,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:12:53Z,2023-06-28 15:47:46.273000+00:00,2024-01-22T19:09:45Z,2023-07-26T04:00:00Z,2279,Mershon,,48103,5.84 kW Roof Mounted 16 Panel Solar Array with Battery Backup,2023.0
30128,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:13:46Z,2023-06-28 21:26:37.037000+00:00,2024-03-12T16:08:23Z,2023-09-15T04:00:00Z,814,Liberty,,48103,4.1 kW Roof Mount Array,2023.0
30197,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:14:44Z,2023-07-05 19:47:50.340000+00:00,2024-03-06T16:32:59Z,2023-09-09T04:00:00Z,608,Ironwood,,48103,"Installation of a roof mounted solar array, 4.8 kW",2023.0
30547,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-07-25T12:07:28Z,2023-07-07 16:46:09.627000+00:00,2024-08-21T15:22:29Z,2024-02-03T05:00:00Z,3465,Huron River,,48104,25.68 kW Ground Mount Array,2023.0
30578,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:14:44Z,2023-07-05 19:47:50.340000+00:00,2024-03-06T16:32:59Z,2023-09-09T04:00:00Z,608,Ironwood,,48103,"Installation of a roof mounted solar array, 4.8 kW",2023.0
30599,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:15:49Z,2023-07-07 15:03:58.233000+00:00,2024-02-27T15:38:25Z,2023-09-01T04:00:00Z,2515,Georgetown,,48105,Installing roof mounted solar panels.,2023.0
30601,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-13T18:17:00Z,2023-07-07 17:27:21.037000+00:00,2024-01-17T15:27:43Z,2023-07-28T04:00:00Z,623,Third,,48103,3.69 kW Roof Mount Array,2023.0
30618,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-25T13:53:29Z,2023-07-10 13:24:28.273000+00:00,2024-03-04T05:00:00Z,2023-09-06T04:00:00Z,2475,Traver,,48105,7.38 kW Roof Mount Array,2023.0
30661,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-07-25T13:53:19Z,2023-07-12 13:10:03.257000+00:00,2024-02-12T15:44:30Z,2023-08-16T04:00:00Z,1407,Wakefield,,48103,NO SOLAR PANELS ARE BEING INSTALLED. Installation of (2) Tesla Powerwall batteries in the detached garage on the property with 15' of trenching to the home and a surge arrester.,2023.0
