,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description,Year
4666,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:41:23Z,2022-06-15 20:39:03.433000+00:00,2023-03-17T19:33:29Z,2022-09-19T04:00:00Z,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester,2022.0
5055,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:41:23Z,2022-06-15 20:39:03.433000+00:00,2023-03-17T19:33:29Z,2022-09-19T04:00:00Z,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester,2022.0
5069,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:34:15Z,2022-06-16 21:07:23.203000+00:00,2023-04-19T15:13:34Z,2022-10-22T04:00:00Z,2348,Hickory Point,,48105,"15 panel solar array roof mounted on residence, grid tied with battery",2022.0
5075,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:04:02Z,2022-06-17 16:15:29.807000+00:00,2023-02-14T00:01:30Z,2022-08-26T04:00:00Z,810,Sunset,,48103,Solar Panel Installation on Main Roof,2022.0
5527,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:24:54Z,2022-06-24 22:12:55.383000+00:00,2023-04-19T14:45:42Z,2022-10-22T04:00:00Z,630,Archwood,,48103,"36 panel solar array roof mount on residence, grid tied",2022.0
5528,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09T11:07:14Z,2022-06-24 23:35:04.670000+00:00,2023-04-03T22:30:32Z,2022-10-05T04:00:00Z,2659,Sequoia,,48103,"17 panel solar array, roof mount on residence, grid tied",2022.0
5557,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09T10:58:18Z,2022-06-28 21:48:10.030000+00:00,2023-03-27T15:40:50Z,2022-09-28T04:00:00Z,1545,Chalmers,,48104,"Install 22 panel solar array on attached garage roof, grid tied",2022.0
5997,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:28:15Z,2022-07-06 15:48:35.127000+00:00,2023-03-20T15:46:45Z,2022-09-22T04:00:00Z,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array,2022.0
6005,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01T12:09:11Z,2022-07-06 19:36:52.050000+00:00,2023-09-15T19:34:08Z,2023-09-15T04:00:00Z,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount,2022.0
6006,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06 19:37:26.280000+00:00,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*,2022.0
6322,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-08-10T18:10:39Z,2022-07-08 17:44:01.473000+00:00,2023-04-03T16:56:46Z,2022-10-05T04:00:00Z,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup,2022.0
6394,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Expired,2022-07-27T20:36:35Z,2022-07-11 19:24:57.270000+00:00,2023-03-15T20:14:20Z,2023-02-14T05:00:00Z,405,Main,,48104,"Installation of 80 panel solar array with conduits, hardware and supports.

Installation of unistrut racking wall for equipment mounting.

Installation of (2) 20kw 3 phase inverters, 1 combiner panel, 100 amp disconnect with conduits, hardware and supports (mounted on strut rack)

Installation of conduit wire and hardware from main switch gear to roof pv equipment rack.

Installation of 100 amp rapid shutdown PV disconnect mounted directly to switch gear.",2022.0
6405,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:28:15Z,2022-07-06 15:48:35.127000+00:00,2023-03-20T15:46:45Z,2022-09-22T04:00:00Z,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array,2022.0
6413,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01T12:09:11Z,2022-07-06 19:36:52.050000+00:00,2023-09-15T19:34:08Z,2023-09-15T04:00:00Z,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount,2022.0
6414,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06 19:37:26.280000+00:00,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*,2022.0
6436,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:21:36Z,2022-07-07 21:15:44.213000+00:00,2023-04-05T13:25:51Z,2022-10-08T04:00:00Z,1511,Golden,,48104,"34 panel roof mount solar array on residence, grid tied",2022.0
6443,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T20:29:06Z,2022-07-08 15:30:50.583000+00:00,2023-05-22T13:48:28Z,2022-12-09T05:00:00Z,1527,Waltham,,48103,solar on roof,2022.0
6446,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-26T11:22:29Z,2022-07-08 17:50:32.010000+00:00,2023-04-03T16:56:46Z,2022-10-05T04:00:00Z,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup,2022.0
6450,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12T09:50:19Z,2022-07-08 23:41:57.657000+00:00,2023-03-27T15:14:45Z,2022-09-27T04:00:00Z,1200,Brooklyn,,48104,"16 SOLAR PANEL ARRAY, ROOF MOUNT ON RESIDENCE, GRID TIED",2022.0
